index,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
1,-7.21221,0.982163,0.94109,1,1,0,0.144095
2,-8.75641,0.722189,0.94109,2,3,0,0.534161
3,-6.8762,1,0.94109,2,3,0,0.190534
4,-9.62451,0.570358,0.94109,2,3,0,0.0466627
5,-11.3278,0.900499,0.94109,1,1,0,0.0247009
6,-9.86938,1,0.94109,1,1,0,0.0424386
7,-9.63845,1,0.94109,1,1,0,0.0464093
8,-8.7895,1,0.94109,1,1,0,0.0654256
9,-6.89951,0.816614,0.94109,2,3,0,0.322611
10,-6.89951,0.882312,0.94109,1,1,0,0.322611
11,-7.17269,0.900518,0.94109,1,1,0,0.375026
12,-6.92071,0.44387,0.94109,2,3,0,0.327768
13,-6.80668,1,0.94109,1,1,0,0.294349
14,-6.80668,0.481677,0.94109,2,3,0,0.294349
15,-6.78022,0.884304,0.94109,2,3,0,0.282578
16,-6.77803,0.852142,0.94109,2,3,0,0.220242
17,-7.22556,0.885609,0.94109,2,3,0,0.383062
18,-6.88747,0.966805,0.94109,2,3,0,0.188157
19,-6.88747,0.815345,0.94109,2,3,0,0.188157
20,-6.92112,0.997138,0.94109,2,3,0,0.181667
21,-6.84124,1,0.94109,1,1,0,0.198781
22,-6.83286,1,0.94109,2,3,0,0.201011
23,-6.82237,0.944664,0.94109,2,3,0,0.203982
24,-7.07801,0.927526,0.94109,2,3,0,0.158635
25,-6.96161,1,0.94109,2,3,0,0.174783
26,-7.73177,0.898225,0.94109,2,3,0,0.10653
27,-6.79174,0.991134,0.94109,2,3,0,0.214308
28,-7.39722,0.850242,0.94109,2,3,0,0.40666
29,-7.2678,1,0.94109,2,3,0,0.389192
30,-7.2678,0.805024,0.94109,1,1,0,0.389192
31,-7.86983,0.779622,0.94109,1,1,0,0.459464
32,-6.87535,0.988474,0.94109,2,3,0,0.190718
33,-9.06726,0.725706,0.94109,2,3,0,0.0582957
34,-6.85201,0.9475,0.94109,2,3,0,0.30967
35,-6.78567,1,0.94109,2,3,0,0.216787
36,-6.97311,0.883098,0.94109,2,3,0,0.172975
37,-7.03107,0.986262,0.94109,1,1,0,0.164633
38,-6.89312,1,0.94109,1,1,0,0.187008
39,-6.81758,1,0.94109,1,1,0,0.205417
40,-6.8983,0.969804,0.94109,2,3,0,0.322307
41,-6.99174,0.988467,0.94109,2,3,0,0.343207
42,-7.1052,0.956921,0.94109,1,1,0,0.364065
43,-6.7612,0.999232,0.94109,2,3,0,0.23008
44,-6.82541,0.989421,0.94109,2,3,0,0.301183
45,-6.77251,1,0.94109,2,3,0,0.223041
46,-7.53733,0.856993,0.94109,2,3,0,0.11826
47,-7.14386,1,0.94109,2,3,0,0.15109
48,-7.73227,0.890887,0.94109,1,1,0,0.106502
49,-7.19106,0.963376,0.94109,2,3,0,0.14618
50,-6.74814,0.985368,0.94109,2,3,0,0.248073
51,-6.86929,0.935573,0.94109,2,3,0,0.314643
52,-8.63969,0.656059,0.94109,2,3,0,0.0697363
53,-8.10911,1,0.94109,1,1,0,0.0884635
54,-8.64085,0.978568,0.94109,2,3,0,0.0697015
55,-7.89826,1,0.94109,1,1,0,0.097921
56,-8.31346,0.943894,0.94109,1,1,0,0.080513
57,-8.67469,0.958331,0.94109,1,1,0,0.0686969
58,-7.28696,0.995257,0.94109,2,3,0,0.137212
59,-6.83623,1,0.94109,2,3,0,0.304777
60,-6.77415,1,0.94109,1,1,0,0.279273
61,-6.81892,0.984537,0.94109,1,1,0,0.298915
62,-6.75313,0.948669,0.94109,2,3,0,0.26278
63,-6.75487,0.853254,0.94109,2,3,0,0.235568
64,-6.75487,0.580355,0.94109,2,3,0,0.235568
65,-6.78848,0.974762,0.94109,2,3,0,0.286629
66,-6.7812,1,0.94109,1,1,0,0.283081
67,-7.65743,0.317938,0.94109,2,3,0,0.437404
68,-8.06128,0.843497,0.94109,1,1,0,0.47764
69,-7.03112,0.983694,0.94109,2,3,0,0.164626
70,-7.04577,0.996596,0.94109,1,1,0,0.16269
71,-7.17403,0.971732,0.94109,1,1,0,0.14791
72,-7.49353,0.938115,0.94109,1,1,0,0.121213
73,-6.81645,1,0.94109,2,3,0,0.298024
74,-6.75137,0.995955,0.94109,2,3,0,0.239862
75,-6.85647,0.968764,0.94109,2,3,0,0.195002
76,-6.77841,1,0.94109,1,1,0,0.220061
77,-6.77841,0.547578,0.94109,2,3,0,0.220061
78,-6.98564,0.958218,0.94109,2,3,0,0.341971
79,-7.1052,0.759806,0.94109,2,3,0,0.15541
80,-6.9831,1,0.94109,2,3,0,0.17145
81,-7.37211,0.963194,0.94109,2,3,0,0.403407
82,-7.23718,1,0.94109,1,1,0,0.384773
83,-7.18615,1,0.94109,1,1,0,0.377115
84,-6.74807,1,0.94109,2,3,0,0.251276
85,-6.7483,0.862626,0.94109,2,3,0,0.247056
86,-6.79815,0.969961,0.94109,2,3,0,0.211879
87,-7.08107,0.924778,0.94109,2,3,0,0.359918
88,-6.91134,1,0.94109,2,3,0,0.18347
89,-7.24099,0.924991,0.94109,1,1,0,0.14136
90,-6.75775,0.994892,0.94109,2,3,0,0.232843
91,-6.75775,0.249393,0.94109,2,3,0,0.232843
92,-6.77021,0.898431,0.94109,2,3,0,0.276926
93,-6.75179,0.985371,0.94109,2,3,0,0.260949
94,-6.75406,0.993006,0.94109,2,3,0,0.263903
95,-6.92139,0.812626,0.94109,2,3,0,0.327927
96,-6.83595,0.967708,0.94109,2,3,0,0.200176
97,-6.82107,1,0.94109,1,1,0,0.204368
98,-7.11037,0.949316,0.94109,2,3,0,0.154815
99,-7.1162,0.999569,0.94109,2,3,0,0.154151
100,-9.00983,0.583245,0.94109,2,3,0,0.552037
101,-7.8805,0.545968,0.94109,2,3,0,0.0987866
102,-8.44778,0.925159,0.94109,1,1,0,0.0758213
103,-8.32948,1,0.94109,2,3,0,0.0799329
104,-7.76162,1,0.94109,2,3,0,0.1049
105,-7.63147,1,0.94109,1,1,0,0.112322
106,-6.75796,0.973364,0.94109,2,3,0,0.232661
107,-6.81067,0.98464,0.94109,2,3,0,0.295881
108,-6.97014,0.72012,0.94109,2,3,0,0.173435
109,-6.74814,0.965982,0.94109,2,3,0,0.251953
110,-6.75743,0.982471,0.94109,2,3,0,0.267404
111,-8.15417,0.668766,0.94109,2,3,0,0.0866171
112,-8.70954,0.805833,0.94109,2,3,0,0.530719
113,-6.83844,1,0.94109,1,1,0,0.305487
114,-7.34701,0.908663,0.94109,2,3,0,0.132156
115,-7.27232,1,0.94109,1,1,0,0.138505
116,-6.91416,1,0.94109,1,1,0,0.182943
117,-6.82074,1,0.94109,1,1,0,0.204466
118,-7.11233,0.922575,0.94109,2,3,0,0.365266
119,-7.01063,1,0.94109,2,3,0,0.346948
120,-8.4832,0.764072,0.94109,2,3,0,0.513422
121,-7.27611,0.839979,0.94109,2,3,0,0.138168
122,-7.22065,0.941654,0.94109,2,3,0,0.382334
123,-8.24955,0.652557,0.94109,1,1,0,0.494249
124,-6.77762,1,0.94109,2,3,0,0.281203
125,-6.75211,1,0.94109,1,1,0,0.261415
126,-6.75211,0.767897,0.94109,2,3,0,0.261415
127,-6.85599,0.956075,0.94109,2,3,0,0.195117
